Subject,Catalog,Section,Component,Session,MinUnits,Units,TotEnrl,CapEnrl,Instructor,Capacity,Room,Mtg Start,Mtg End,Days,Start Date,End Date,Term,Campus,Class Nbr,Total Credits,DUP,FULL,OVER
AIR, 154,01HL,LAB,1,0,0,14,20,"Scott,Terrence D",28,313,9:00:00 AM,10:40:00 AM,W,1/9/2023,5/6/2023,2232,MAIN,24301,0,,,
AIR, 154,DR01,DED,1,3,3,14,20,"Scott,Terrence D",30,TUAL,9:00:00 AM,10:40:00 AM,M,1/9/2023,5/6/2023,2232,MAIN,24016,42,,,
AIR, 155,50HL,LAB,1,0,0,7,20,"Mims,Craig A",28,313,7:00:00 PM,8:50:00 PM,R,1/9/2023,5/6/2023,2232,MAIN,30481,0,,,
AIR, 155,DR50,DED,1,3,3,7,20,"Mims,Craig A",30,TUAL,5:00:00 PM,6:50:00 PM,T,1/9/2023,5/6/2023,2232,MAIN,30480,21,,,
AIR, 158,DR01,DED,1,2,2,9,20,"Mims,Craig A",30,TUAL,11:00:00 AM,12:40:00 PM,M,1/9/2023,5/6/2023,2232,MAIN,24088,18,,,
AIR, 181,20HL,LAB,1,0,0,12,20,"Scott,Terrence D",28,313,11:00:00 AM,1:40:00 PM,R,1/9/2023,5/6/2023,2232,MAIN,30479,0,,,
AIR, 181,DR20,DED,1,2,2,12,20,"Scott,Terrence D",30,TUAL,11:00:00 AM,11:50:00 AM,T,1/9/2023,5/6/2023,2232,MAIN,24609,24,,,
AIR, 235,20HL,LAB,1,0,0,9,20,"Scott,Terrence D",28,313,9:00:00 AM,10:40:00 AM,R,1/9/2023,5/6/2023,2232,MAIN,24303,0,,,
AIR, 235,DR20,DED,1,3,3,9,20,"Scott,Terrence D",30,TUAL,9:00:00 AM,10:40:00 AM,T,1/9/2023,5/6/2023,2232,MAIN,23776,27,,,
AIR, 297,DR01,COP,8W1,3,3,2,20,"Mims,Craig A",30,TUAL,4:00:00 AM,5:50:00 AM,MTW,1/9/2023,3/4/2023,2232,MAIN,23943,6,,,
AIR, 297,DR02,COP,8W2,3,3,2,20,"Mims,Craig A",30,TUAL,4:00:00 AM,5:50:00 AM,MTW,3/13/2023,5/6/2023,2232,MAIN,24063,6,,,
ARC, 133,D01,DED,1,3,3,5,25,"Kennedy,James L",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24557,15,,,
AUT, 101,20H,LEC,1,3,3,8,24,"Staff,Tba",24,504,1:00:00 PM,3:00:00 PM,TR,1/9/2023,5/6/2023,2232,MAIN,40703,24,,,
AUT, 125,01H,LEC,1,3,3,7,24,"Burge,Mark D",24,504,8:00:00 AM,10:30:00 AM,MW,1/9/2023,5/6/2023,2232,MAIN,24097,21,,,
AUT, 236,20H,LEC,1,4,4,11,24,"Burge,Mark D",24,504,8:00:00 AM,11:00:00 AM,TR,1/9/2023,5/6/2023,2232,MAIN,25542,44,,,
AUT, 245,40H,LEC,1,4,4,10,24,"Staff,Tba",24,504,6:00:00 PM,9:00:00 PM,MW,1/9/2023,5/6/2023,2232,MAIN,23899,40,,,
AUT, 251,01H,LEC,1,4,4,8,24,"Burge,Mark D",24,504,1:00:00 PM,4:00:00 PM,MW,1/9/2023,5/6/2023,2232,MAIN,24098,32,,,
AUT, 267,50H,LEC,1,4,4,6,24,"Henson,Johnny Tyler",24,504,6:00:00 PM,9:00:00 PM,TR,1/9/2023,5/6/2023,2232,MAIN,23703,24,,,
BIO, 100,D01,DED,1,3,3,12,24,"Ouellette,Donald Edward",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24242,36,,,
BIO, 101,01H,LEC,1,4,4,34,36,"Mead,Jaime Ann",48,421,9:30:00 AM,10:45:00 AM,MW,1/9/2023,5/6/2023,2232,MAIN,23551,136,,,
BIO, 101,01HL,LAB,1,0,0,12,24,"Jeffery,Carol Janette",24,435,8:00:00 AM,10:50:00 AM,M,1/9/2023,5/6/2023,2232,MAIN,23556,0,,,
BIO, 101,01W,LEC,1,4,4,38,40,"Houle,Melanie Sue",40,327,9:30:00 AM,10:45:00 AM,MW,1/9/2023,5/6/2023,2232,HT,23694,152,,,
BIO, 101,01WL,LAB,1,0,0,22,24,"Houle,Melanie Sue",32,329,11:00:00 AM,1:50:00 PM,M,1/9/2023,5/6/2023,2232,HT,24245,0,,,
BIO, 101,02H,LEC,1,4,4,30,36,"Jeffery,Carol Janette",48,421,11:00:00 AM,12:15:00 PM,MW,1/9/2023,5/6/2023,2232,MAIN,23552,120,,,
BIO, 101,02HL,LAB,1,0,0,24,24,"Evans,Ann S",24,435,2:00:00 PM,4:50:00 PM,M,1/9/2023,5/6/2023,2232,MAIN,23554,0,,FULL,
BIO, 101,02WL,LAB,1,0,0,14,24,"Houle,Melanie Sue",32,329,11:00:00 AM,1:50:00 PM,W,1/9/2023,5/6/2023,2232,HT,23697,0,,,
BIO, 101,03HL,LAB,1,0,0,24,24,"Martin,Jennifer M",24,435,11:00:00 AM,1:50:00 PM,W,1/9/2023,5/6/2023,2232,MAIN,23616,0,,FULL,
BIO, 101,20H,LEC,1,4,4,35,36,"Song,Pengfei",44,426,11:00:00 AM,12:15:00 PM,TR,1/9/2023,5/6/2023,2232,MAIN,23553,140,,,
BIO, 101,20HL,LAB,1,0,0,16,24,"Houle,Melanie Sue",24,435,8:00:00 AM,10:50:00 AM,T,1/9/2023,5/6/2023,2232,MAIN,25543,0,,,
BIO, 101,21H,LEC,1,4,4,22,32,"Martin,Jennifer M",48,421,12:30:00 PM,1:45:00 PM,TR,1/9/2023,5/6/2023,2232,MAIN,23608,88,,,
BIO, 101,21HL,LAB,1,0,0,18,24,"Mead,Jaime Ann",24,435,8:00:00 AM,10:50:00 AM,R,1/9/2023,5/6/2023,2232,MAIN,23664,0,,,
BIO, 101,22HL,LAB,1,0,0,19,24,"Staff,Tba",24,435,2:00:00 PM,4:50:00 PM,R,1/9/2023,5/6/2023,2232,MAIN,24091,0,,,
BIO, 101,30H,LEC,1,4,4,5,24,"Song,Pengfei",44,426,11:00:00 AM,1:50:00 PM,F,1/9/2023,5/6/2023,2232,MAIN,23618,20,,,
BIO, 101,30HL,LAB,1,0,0,16,24,"Staff,Tba",24,435,8:00:00 AM,10:50:00 AM,F,1/9/2023,5/6/2023,2232,MAIN,23555,0,,,
BIO, 101,30W,LEC,1,4,4,0,0,"Staff,Tba",40,328,8:00:00 AM,10:50:00 AM,F,1/9/2023,5/6/2023,2232,HT,23695,0,,FULL,
BIO, 101,30WL,LAB,1,0,0,0,0,"Staff,Tba",32,329,11:00:00 AM,1:50:00 PM,F,1/9/2023,5/6/2023,2232,HT,23696,0,,FULL,
BIO, 101,40W,LEC,1,4,4,14,24,"Jeffery,Carol Janette",24,326,5:30:00 PM,6:45:00 PM,MW,1/9/2023,5/6/2023,2232,HT,23677,56,,,
BIO, 101,40WL,LAB,1,0,0,13,24,"Jeffery,Carol Janette",32,329,7:00:00 PM,9:40:00 PM,W,1/9/2023,5/6/2023,2232,HT,23678,0,,,
BIO, 101,D01,DED,1,4,4,30,30,"Martin,Jennifer M",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,23706,120,,FULL,
BIO, 101,D01L,LAB,1,4,0,30,30,"Martin,Jennifer M",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,23707,0,,FULL,
BIO, 101,D02,DED,1,4,4,30,30,"Martin,Jennifer M",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24246,120,,FULL,
BIO, 101,D02L,LAB,1,4,0,30,30,"Martin,Jennifer M",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,24247,0,,FULL,
BIO, 101,D03,DED,1,4,4,19,30,"Martin,Jennifer M",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,23853,76,,,
BIO, 101,D03L,LAB,1,4,0,19,30,"Alexander,Maryse Yvette",30,TUAL,,,,1/9/2023,5/6/2023,2232,MAIN,23854,0,,,
BIO, 101,D04,DED,8W1,4,4,24,26,"Song,Pengfei",30,TUAL,,,,1/9/2023,3/4/2023,2232,MAIN,23855,96,,,
BIO, 101,D04L,LAB,8W1,4,0,24,26,"Song,Pengfei",30,TUAL,,,,1/9/2023,3/4/2023,2232,MAIN,23856,0,,,
